id,host_name,host_response_time,host_is_superhost,neighbourhood,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,last_review,review_scores_rating
9363996,Thomas,within an hour,f,West Highland,West Highland,80211,39.76177,-105.02921,House,Entire home/apt,8,2.5,3,4,,$160.00 ,30,4/22/19,99
9372481,Dale,within an hour,f,Overland,Overland,80223,39.67117,-104.98895,House,Entire home/apt,4,1,2,3,,$99.00 ,122,4/22/19,94
9388362,Evan,within a few hours,f,Lincoln Park,Lincoln Park,80204,39.73559,-105.00023,House,Private room,2,1,1,1,,$90.00 ,27,4/21/19,94
9389531,Kelly,within an hour,f,City Park West,City Park West,80205,39.74872,-104.96442,Townhouse,Entire home/apt,2,1,2,2,,$110.00 ,10,9/20/18,100
9409334,Jill,N/A,f,Capitol Hill,Capitol Hill,80218,39.73306,-104.97482,House,Entire home/apt,6,2,3,3,,$100.00 ,0,,
9428199,Hostel Fish,within an hour,t,Five Points,Five Points,80202,39.75394,-104.99265,Hostel,Private room,2,1,1,1,,$145.00 ,12,4/20/19,97
9433028,Steven And Naren,within an hour,f,Whittier,Whittier,80205,39.7608,-104.96898,Apartment,Entire home/apt,4,1,1,1,,$125.00 ,182,4/22/19,91
9436342,Nella,within an hour,t,Washington Park West,Washington Park West,80209,39.70173,-104.98254,House,Private room,2,1,1,1,,$79.00 ,131,11/4/18,98
9445553,Sarah,within an hour,f,West Highland,West Highland,80212,39.76766,-105.05249,House,Shared room,1,1,1,1,,$18.00 ,104,4/12/19,89
9462238,Eric,within a few hours,f,North Park Hill,North Park Hill,80207,39.75895,-104.93248,House,Private room,2,1,1,1,,$60.00 ,46,3/22/19,97
9471950,Celia,within an hour,t,Five Points,Five Points,80205,39.75084,-104.98193,Apartment,Entire home/apt,3,1,1,2,,$129.00 ,234,4/24/19,96
9474354,Royel,within an hour,f,Congress Park,Congress Park,80206,39.73881,-104.94521,House,Private room,2,2,1,1,,$27.00 ,54,4/12/19,92
9492971,Kent,within an hour,t,Berkeley,Berkeley,80212,39.77508,-105.04531,Guesthouse,Entire home/apt,4,1,1,2,,$125.00 ,135,4/19/19,99
9496966,Kinga,within an hour,t,City Park West,City Park West,80218,39.74102,-104.97311,Loft,Entire home/apt,6,2,2,2,,$159.00 ,290,4/22/19,97
9512789,Mark,within an hour,t,Hampden,Hampden,80224,39.65833,-104.90492,Townhouse,Entire home/apt,3,2,2,2,,$110.00 ,59,3/23/19,96
9520316,Jennifer,N/A,f,Highland,Highland,80211,39.76431,-105.01852,Apartment,Entire home/apt,3,1,0,2,,$120.00 ,18,11/11/18,97
9523086,Eric,within an hour,t,Highland,Highland,80211,39.7653,-105.00998,Townhouse,Private room,2,1,1,1,,$77.00 ,126,4/3/19,98
9528868,Justine,within an hour,t,Sloane Lake,Sloan Lake,80212,39.75691,-105.05242,Cottage,Private room,2,1,1,1,,$58.00 ,51,7/29/18,98
9532575,Arielle,N/A,f,Washington Park West,Washington Park West,80209,39.70921,-104.98517,Apartment,Entire home/apt,2,1,0,1,,$54.00 ,0,,
9548317,Peter,within an hour,f,University Park,University Park,80210,39.67111,-104.94505,House,Entire home/apt,8,5,5,5,,$685.00 ,0,,
9591731,Dale,within an hour,f,Overland,Overland,80210,39.67133,-104.98869,Apartment,Entire home/apt,6,1,3,5,,$115.00 ,106,4/21/19,96
9596444,DJ Bella,within an hour,t,Whittier,Whittier,80205,39.75507,-104.96613,House,Private room,2,1.5,1,1,,$45.00 ,46,4/22/19,100
9604653,KayJay,within an hour,f,Windsor,Windsor,80247,39.69669,-104.88177,Condominium,Private room,2,1,1,1,,$67.00 ,53,11/24/17,95
9633450,Jack,within an hour,t,Jefferson Park,Jefferson Park,80211,39.75389,-105.02248,Townhouse,Entire home/apt,4,2,2,2,,$179.00 ,284,3/25/19,99
9652984,Mimi,within an hour,t,Capitol Hill,Capitol Hill,80218,39.73761,-104.97702,Apartment,Entire home/apt,2,1,0,1,,$75.00 ,324,4/7/19,99
9654110,Mary,within a day,f,Washington Park,Washington Park,80210,39.69493,-104.96258,House,Entire home/apt,11,4,6,6,,$400.00 ,15,8/12/18,100
9665678,Tim,within an hour,t,Lincoln Park,Lincoln Park,80204,39.72731,-104.99434,House,Entire home/apt,4,1,1,2,,$105.00 ,126,4/21/19,93
9682108,Cash,N/A,t,West Colfax,West Colfax,80204,39.73725,-105.04059,House,Entire home/apt,4,2.5,3,4,,$135.00 ,23,12/31/18,100
9684438,Ralph,N/A,f,Capitol Hill,Capitol Hill,80203,39.73024,-104.97858,Condominium,Entire home/apt,2,1,1,1,,$150.00 ,3,9/24/16,100
9709520,Michael,within a few hours,t,University,University,80210,39.68407,-104.97305,House,Entire home/apt,6,2,3,3,,$204.00 ,63,4/22/19,100
9710417,Anna,within an hour,t,Speer,Speer,80218,39.72052,-104.97868,Guesthouse,Entire home/apt,4,1,1,2,,$92.00 ,247,4/25/19,99
