OFFENSE_CATEGORY_ID,GEO_LON,GEO_LAT,NEIGHBORHOOD_ID
all-other-crimes,-104.9340289,39.7323199,hale
theft-from-motor-vehicle,-105.0423724,39.7097446,westwood
drug-alcohol,-104.9035461,39.6985338,washington-virginia-vale
drug-alcohol,-105.0180787,39.711174,athmar-park
larceny,-104.6740448,39.851926,dia
all-other-crimes,-104.9808424,39.7418395,north-capitol-hill
public-disorder,-105.0005247,39.7219336,baker
larceny,-105.010404,39.7469159,auraria
all-other-crimes,-104.9775385,39.7480841,five-points
all-other-crimes,-104.9645482,39.7656283,cole
larceny,-104.9020724,39.6404265,hampden-south
larceny,-104.959735,39.7194967,country-club
larceny,-105.0340179,39.7618883,west-highland
aggravated-assault,-105.0460559,39.6645052,harvey-park-south
other-crimes-against-persons,-104.9721099,39.7657695,cole
larceny,-105.0013634,39.7544768,union-station
larceny,-104.9926055,39.7453197,cbd
burglary,-105.0249095,39.7858506,chaffee-park
public-disorder,-105.0387936,39.6842405,mar-lee
drug-alcohol,-104.9883762,39.7551953,five-points
burglary,-105.0290851,39.7474643,sloan-lake
larceny,-105.0302833,39.7544201,sloan-lake
drug-alcohol,-104.9807994,39.7399561,capitol-hill
other-crimes-against-persons,-104.9839321,39.740453,north-capitol-hill
burglary,-104.892654,39.7966108,stapleton
robbery,-105.0256778,39.7696075,berkeley
theft-from-motor-vehicle,-104.9970256,39.6957807,ruby-hill
drug-alcohol,-105.0218977,39.6775787,college-view-south-platte
larceny,-105.0271729,39.7114332,barnum
burglary,-104.9373407,39.6873567,virginia-village
theft-from-motor-vehicle,-104.94339,39.681332,university-park
all-other-crimes,-105.0264278,39.6864864,mar-lee
larceny,-105.0218977,39.6775787,college-view-south-platte
drug-alcohol,-104.9896298,39.7525268,five-points
larceny,-104.9979493,39.7375378,lincoln-park
all-other-crimes,-104.9590553,39.7403303,city-park
burglary,-104.9291642,39.6913365,virginia-village
all-other-crimes,-104.9886405,39.7545595,five-points
auto-theft,-104.9412334,39.7755099,elyria-swansea
robbery,-105.0262983,39.6998885,westwood
theft-from-motor-vehicle,-104.8905963,39.7172976,lowry-field
public-disorder,-104.96511,39.7381481,cheesman-park
auto-theft,-104.9655391,39.7634997,cole
auto-theft,-105.0320859,39.7662401,west-highland
all-other-crimes,-104.9807994,39.7399561,capitol-hill
public-disorder,-105.0350398,39.634612,fort-logan
public-disorder,-105.0349494,39.7871727,regis
drug-alcohol,-104.9051761,39.7225773,hilltop
robbery,-104.9918802,39.7536456,five-points
all-other-crimes,-105.029771,39.7003417,westwood
all-other-crimes,-104.9158156,39.6782937,goldsmith
all-other-crimes,-104.9966997,39.7397369,civic-center
public-disorder,-105.0304764,39.6889295,mar-lee
white-collar-crime,-104.9223399,39.6893594,virginia-village
white-collar-crime,-104.8142639,39.7935889,montbello
public-disorder,-104.9679083,39.6777202,university
all-other-crimes,-105.0035113,39.7796433,sunnyside
larceny,-104.9882243,39.7375179,civic-center
all-other-crimes,-105.0052381,39.7401547,lincoln-park
larceny,-105.0256728,39.7608749,west-highland
auto-theft,-104.6738123,39.8492917,dia
larceny,-104.9866184,39.7251818,speer
larceny,-104.9713893,39.7811423,elyria-swansea
all-other-crimes,-104.991952,39.6872759,overland
auto-theft,-104.8457423,39.7770357,montbello
burglary,-105.0036262,39.7563834,union-station
auto-theft,-105.024371,39.6869311,ruby-hill
all-other-crimes,-104.933774,39.6784502,goldsmith
larceny,-104.9848815,39.6683271,rosedale
sexual-assault,,,five-points
public-disorder,-104.9391677,39.6855069,virginia-village
theft-from-motor-vehicle,-105.029125,39.6742641,harvey-park
all-other-crimes,-104.9017211,39.6266428,hampden-south
burglary,-105.038448,39.756256,sloan-lake
auto-theft,-104.8541815,39.7851533,montbello
other-crimes-against-persons,-105.022374,39.707834,athmar-park
drug-alcohol,-104.9874529,39.720944,baker
larceny,-104.9366653,39.6798697,university-hills
burglary,-104.9999509,39.7530543,union-station
burglary,-105.0576115,39.675698,harvey-park
other-crimes-against-persons,-104.9883656,39.7546983,five-points
aggravated-assault,-104.8440951,39.7918536,montbello
white-collar-crime,-104.9757479,39.7402219,north-capitol-hill
all-other-crimes,-105.0360111,39.7375183,west-colfax
burglary,-105.0496724,39.7547128,sloan-lake
theft-from-motor-vehicle,-104.9841854,39.7896544,globeville
other-crimes-against-persons,-104.9904797,39.7280757,lincoln-park
burglary,-104.9906033,39.7448333,cbd
larceny,-104.9971888,39.7553403,union-station
public-disorder,-104.8968242,39.7268312,lowry-field
aggravated-assault,-104.8959391,39.7858444,stapleton
public-disorder,-104.9744211,39.7113411,speer
theft-from-motor-vehicle,-104.9932651,39.7539481,five-points
other-crimes-against-persons,-104.9904797,39.7280757,lincoln-park
auto-theft,-104.7734685,39.8198276,dia
auto-theft,-104.8149369,39.7880804,montbello
all-other-crimes,-105.0218977,39.6775787,college-view-south-platte
drug-alcohol,-105.0247788,39.710147,athmar-park
drug-alcohol,-105.0257204,39.6760184,harvey-park
public-disorder,-105.0242783,39.6922292,ruby-hill
public-disorder,-105.0313262,39.6962931,mar-lee
public-disorder,-104.9839098,39.7705491,globeville
public-disorder,-105.0107869,39.7124149,valverde
larceny,-105.0296046,39.7755337,berkeley
drug-alcohol,-104.6738123,39.8492917,dia
larceny,-105.0103108,39.6864094,ruby-hill
theft-from-motor-vehicle,-105.0374849,39.6375042,fort-logan
larceny,-104.9992798,39.7563869,union-station
other-crimes-against-persons,-105.0912451,39.6329486,marston
white-collar-crime,-105.0237794,39.7102336,athmar-park
drug-alcohol,-105.0243687,39.6851686,ruby-hill
all-other-crimes,-104.9242118,39.7241078,hilltop
burglary,-104.9215977,39.6763731,goldsmith
robbery,-104.9873239,39.7385928,capitol-hill
white-collar-crime,-104.7636798,39.7705774,gateway-green-valley-ranch
white-collar-crime,-104.8987909,39.6292772,hampden-south
other-crimes-against-persons,-104.9701008,39.740732,city-park-west
all-other-crimes,-104.9870284,39.7323241,capitol-hill
larceny,-104.9778173,39.7541084,five-points
larceny,-104.9016677,39.7671291,stapleton
all-other-crimes,-104.9646344,39.7576071,whittier
other-crimes-against-persons,-105.0111825,39.776554,sunnyside
aggravated-assault,-104.9824972,39.7315493,capitol-hill
larceny,-104.9789703,39.6783929,rosedale
public-disorder,-104.8745249,39.6977626,windsor
drug-alcohol,-104.9391677,39.6855069,virginia-village
public-disorder,-104.9362261,39.7177393,hilltop
sexual-assault,,,montbello
theft-from-motor-vehicle,-104.9414324,39.7081198,belcaro
theft-from-motor-vehicle,-104.8486294,39.7810653,montbello
all-other-crimes,-104.9923126,39.737154,civic-center
theft-from-motor-vehicle,-105.0354636,39.7718702,berkeley
auto-theft,-104.9749178,39.7176356,speer
public-disorder,-105.072914,39.6650259,bear-valley
drug-alcohol,-104.988774,39.7518615,five-points
auto-theft,-104.9014582,39.7554113,stapleton
public-disorder,-104.8884241,39.7336318,east-colfax
larceny,-104.982142,39.730057,capitol-hill
aggravated-assault,-105.0491673,39.7292733,villa-park
public-disorder,-104.9753101,39.7131872,speer
larceny,-104.8565018,39.757222,stapleton
auto-theft,-105.0416349,39.6501464,fort-logan
burglary,-104.9581225,39.6815766,university-park
larceny,-104.9526903,39.717526,cherry-creek
drug-alcohol,-104.9508752,39.7868354,elyria-swansea
larceny,-104.6738123,39.8492917,dia
aggravated-assault,-105.0524226,39.6977424,westwood
drug-alcohol,-104.9874529,39.720944,baker
drug-alcohol,-105.0298203,39.7094261,westwood
public-disorder,-104.8829746,39.7771379,stapleton
all-other-crimes,-104.9833842,39.7322889,capitol-hill
drug-alcohol,-104.884752,39.7379887,east-colfax
auto-theft,-104.933662,39.7804096,northeast-park-hill
larceny,-104.9883004,39.741702,cbd
auto-theft,-105.0043337,39.7609489,highland
larceny,-105.0524504,39.7541304,sloan-lake
all-other-crimes,-104.8887503,39.7398543,east-colfax
other-crimes-against-persons,-104.9883656,39.7546983,five-points
public-disorder,-104.9613852,39.7073701,washington-park
all-other-crimes,-105.0251519,39.7380049,sun-valley
auto-theft,-104.9875777,39.7111576,baker
auto-theft,-104.9841854,39.7896544,globeville
theft-from-motor-vehicle,-104.9032701,39.6407236,hampden-south
all-other-crimes,-104.8067289,39.7901077,gateway-green-valley-ranch
sexual-assault,,,north-capitol-hill
other-crimes-against-persons,-104.9650809,39.7699435,cole
theft-from-motor-vehicle,-104.9113222,39.6345404,southmoor-park
auto-theft,-105.0004068,39.7724239,sunnyside
all-other-crimes,-104.933774,39.6784502,goldsmith
larceny,-104.8727067,39.7572381,stapleton
burglary,-104.9871475,39.7131159,speer
other-crimes-against-persons,-104.9919127,39.7525889,five-points
auto-theft,-104.9045115,39.7807737,northeast-park-hill
all-other-crimes,-104.9629322,39.7880495,elyria-swansea
theft-from-motor-vehicle,-105.0375662,39.6585971,harvey-park-south
sexual-assault,,,barnum
aggravated-assault,-105.0333576,39.7264307,villa-park
larceny,-104.9590553,39.7403303,city-park
theft-from-motor-vehicle,-104.8991903,39.7220555,lowry-field
sexual-assault,,,east-colfax
drug-alcohol,-104.8473203,39.771101,stapleton
public-disorder,-105.0092919,39.7721758,sunnyside
drug-alcohol,-105.032474,39.7165661,barnum
all-other-crimes,-105.0324564,39.71121,westwood
all-other-crimes,-104.9507036,39.7855745,elyria-swansea
all-other-crimes,-104.913813,39.7691997,northeast-park-hill
larceny,-104.8950261,39.7836133,stapleton
all-other-crimes,-104.9912342,39.7505133,cbd
all-other-crimes,-104.9922447,39.7479947,cbd
public-disorder,-105.004306,39.6914109,ruby-hill
all-other-crimes,-104.9405452,39.7779252,northeast-park-hill
aggravated-assault,-104.9979479,39.7367389,lincoln-park
auto-theft,-105.0924925,39.61499,marston
theft-from-motor-vehicle,-104.9809642,39.7594893,five-points
all-other-crimes,-105.0242516,39.7873716,chaffee-park
public-disorder,-104.9668363,39.7538368,whittier
all-other-crimes,-104.8096745,39.7891093,gateway-green-valley-ranch
white-collar-crime,-105.0247502,39.7106932,athmar-park
white-collar-crime,-105.0247502,39.7106932,athmar-park
drug-alcohol,-104.9391677,39.6855069,virginia-village
burglary,-104.9854117,39.7132648,speer
auto-theft,-104.9713893,39.7811423,elyria-swansea
burglary,-104.8842439,39.7845183,stapleton
theft-from-motor-vehicle,-105.005461,39.767545,highland
larceny,-104.9512928,39.7162155,cherry-creek
theft-from-motor-vehicle,-105.0429365,39.720813,barnum-west
all-other-crimes,-105.0332921,39.7293157,villa-park
larceny,-104.9526903,39.717526,cherry-creek
all-other-crimes,-104.9897807,39.7440144,cbd
sexual-assault,,,mar-lee
all-other-crimes,-105.0235395,39.7099636,athmar-park
all-other-crimes,-105.0021465,39.7533821,union-station
all-other-crimes,-104.9909476,39.6797631,overland
theft-from-motor-vehicle,-105.0084318,39.6964604,ruby-hill
drug-alcohol,-104.8866399,39.7404556,east-colfax
public-disorder,-104.956601,39.7330797,congress-park
all-other-crimes,-105.0427535,39.789243,regis
burglary,-105.0562598,39.6523686,fort-logan
public-disorder,-105.0235395,39.7099636,athmar-park
public-disorder,-104.8997966,39.6378836,hampden-south
theft-from-motor-vehicle,-104.9049212,39.7463447,south-park-hill
auto-theft,-104.9335831,39.6611591,university-hills
auto-theft,-105.0485913,39.7375618,west-colfax
public-disorder,-104.8878451,39.7388586,east-colfax
public-disorder,-104.8259803,39.7857036,montbello
theft-from-motor-vehicle,-104.982149,39.7507839,five-points
auto-theft,-105.0459157,39.7081606,westwood
public-disorder,-105.0311407,39.7777882,berkeley
drug-alcohol,-104.9751035,39.7398594,capitol-hill
drug-alcohol,-104.9797687,39.7398829,capitol-hill
theft-from-motor-vehicle,-104.8619644,39.6584037,kennedy
auto-theft,-104.8936204,39.6536735,hampden
auto-theft,-104.991849,39.7628503,five-points
theft-from-motor-vehicle,-104.8310019,39.7695873,stapleton
all-other-crimes,-104.9561529,39.7670256,clayton
drug-alcohol,-105.0233707,39.7159888,valverde
public-disorder,-105.0257204,39.6760184,harvey-park
theft-from-motor-vehicle,-104.8259803,39.7857036,montbello
drug-alcohol,-104.9886405,39.7545595,five-points
all-other-crimes,-104.9895852,39.7542616,five-points
larceny,-104.9789877,39.7487988,five-points
other-crimes-against-persons,-104.9940111,39.7535834,union-station
public-disorder,-104.9031289,39.7200111,lowry-field
other-crimes-against-persons,-104.9886361,39.7322405,civic-center
public-disorder,-104.9172698,39.654625,hampden
theft-from-motor-vehicle,-104.9887991,39.7635344,five-points
public-disorder,-104.9663416,39.7403197,city-park-west
burglary,-104.9559045,39.7353221,congress-park
all-other-crimes,-104.9833842,39.7322889,capitol-hill
auto-theft,-104.8898006,39.6493792,hampden-south
auto-theft,-104.8280151,39.795038,montbello
public-disorder,-104.9701008,39.740732,city-park-west
theft-from-motor-vehicle,-104.996248,39.7585647,five-points
auto-theft,-105.0439501,39.718014,barnum-west
theft-from-motor-vehicle,-104.8781253,39.7237826,lowry-field
theft-from-motor-vehicle,-104.8103801,39.7806882,montbello
drug-alcohol,-105.0200141,39.6781805,college-view-south-platte
aggravated-assault,-105.0075609,39.6818023,college-view-south-platte
auto-theft,-105.0178278,39.7885424,chaffee-park
other-crimes-against-persons,-104.9879392,39.7556271,five-points
other-crimes-against-persons,-105.0141663,39.7115257,valverde
sexual-assault,,,northeast-park-hill
other-crimes-against-persons,-104.9827246,39.7537458,five-points
drug-alcohol,-105.0250741,39.6733391,harvey-park
larceny,-104.9402287,39.6660777,university-hills
drug-alcohol,-104.9622405,39.7399935,cheesman-park
theft-from-motor-vehicle,-104.9114125,39.6504558,hampden-south
theft-from-motor-vehicle,-104.8242778,39.793257,montbello
all-other-crimes,-104.8858338,39.7387026,east-colfax
larceny,-104.9047282,39.6262189,southmoor-park
drug-alcohol,-104.9895852,39.7542616,five-points
public-disorder,-104.8904325,39.7107794,lowry-field
larceny,-105.0256853,39.7600871,west-highland
auto-theft,-104.8229259,39.7932135,montbello
larceny,-104.8825433,39.7638925,stapleton
sexual-assault,,,city-park-west
burglary,-104.8797433,39.8001315,stapleton
public-disorder,-105.0474639,39.735946,west-colfax
larceny,-104.9989572,39.7572338,union-station
public-disorder,-104.9131494,39.7303206,montclair
auto-theft,-104.8193417,39.7734901,montbello
larceny,-104.9972177,39.7522959,union-station
all-other-crimes,-104.9882243,39.7375179,civic-center
burglary,-105.0021707,39.7499753,union-station
burglary,-104.9776366,39.7616488,five-points
public-disorder,-104.9950249,39.7510869,union-station
drug-alcohol,-105.0241305,39.7266024,sun-valley
auto-theft,-104.9820381,39.7205332,speer
drug-alcohol,-105.0241305,39.7266024,sun-valley
all-other-crimes,-104.9949705,39.7680166,globeville
public-disorder,-104.9704494,39.7496557,city-park-west
theft-from-motor-vehicle,-104.9080822,39.6305433,southmoor-park
other-crimes-against-persons,-105.0023421,39.7548928,union-station
drug-alcohol,-104.9530411,39.7751233,elyria-swansea
drug-alcohol,-104.9798198,39.7392243,capitol-hill
drug-alcohol,-104.9999509,39.7530543,union-station
other-crimes-against-persons,-104.9935737,39.7397729,civic-center
drug-alcohol,-104.9890576,39.7519835,five-points
theft-from-motor-vehicle,-105.0464983,39.7406531,west-colfax
auto-theft,-104.9554341,39.738661,congress-park
other-crimes-against-persons,-104.9099529,39.7011797,washington-virginia-vale
white-collar-crime,-104.8950261,39.7836133,stapleton
robbery,-104.9099529,39.7011797,washington-virginia-vale
auto-theft,-104.9325157,39.6943423,virginia-village
drug-alcohol,-104.9768705,39.7484819,five-points
auto-theft,-105.0158988,39.661354,college-view-south-platte
auto-theft,-104.9978458,39.7385888,lincoln-park
larceny,-104.897946,39.7696879,stapleton
larceny,-105.0521776,39.6548266,harvey-park-south
other-crimes-against-persons,-104.979724,39.736797,capitol-hill
robbery,-104.8978201,39.7677766,stapleton
auto-theft,-105.0059012,39.7035821,athmar-park
auto-theft,-105.0354636,39.7718702,berkeley
all-other-crimes,-104.9713893,39.7811423,elyria-swansea
public-disorder,-104.9601396,39.7366704,cheesman-park
public-disorder,-104.8939969,39.7705516,stapleton
robbery,-104.901554,39.7579401,stapleton
auto-theft,-104.8457423,39.7770357,montbello
all-other-crimes,-104.9923126,39.737154,civic-center
all-other-crimes,-105.0092919,39.7721758,sunnyside
auto-theft,-104.833995,39.7934304,montbello
other-crimes-against-persons,-104.9883656,39.7546983,five-points
larceny,-104.8166773,39.7884172,montbello
larceny,-104.9871898,39.718516,speer
other-crimes-against-persons,-104.9173415,39.7645421,northeast-park-hill
all-other-crimes,-104.8325751,39.794169,montbello
public-disorder,-104.9651006,39.7403223,city-park-west
public-disorder,-105.0210138,39.662366,college-view-south-platte
public-disorder,-105.0003042,39.7738428,sunnyside
burglary,-105.0033797,39.7078294,athmar-park
all-other-crimes,-105.0365822,39.7893918,regis
public-disorder,-105.0326489,39.6572324,harvey-park-south
other-crimes-against-persons,-104.8884241,39.7336318,east-colfax
all-other-crimes,-104.9904596,39.753354,five-points
aggravated-assault,-104.9655406,39.7530403,whittier
larceny,-104.9886405,39.7545595,five-points
larceny,-104.9947155,39.7397366,civic-center
all-other-crimes,-104.9855592,39.7784791,globeville
theft-from-motor-vehicle,-104.9951621,39.6811512,overland
all-other-crimes,-104.939133,39.6885101,virginia-village
all-other-crimes,-104.8866399,39.7404556,east-colfax
public-disorder,-104.8504883,39.6580306,kennedy
robbery,-104.886046,39.78433,stapleton
larceny,-104.9915498,39.7889068,globeville
public-disorder,-105.0210138,39.662366,college-view-south-platte
theft-from-motor-vehicle,-104.9617619,39.7703896,cole
theft-from-motor-vehicle,-104.8936204,39.6536735,hampden
drug-alcohol,-104.9810039,39.7392295,capitol-hill
all-other-crimes,-104.9753118,39.758594,five-points
public-disorder,-105.0382591,39.6979841,westwood
larceny,-104.9512928,39.7162155,cherry-creek
drug-alcohol,-104.9910488,39.7554896,five-points
white-collar-crime,-104.9340289,39.7323199,hale
drug-alcohol,-105.0241305,39.7266024,sun-valley
burglary,-104.9884831,39.6683867,overland
larceny,-105.0095553,39.7553815,highland
all-other-crimes,-104.9935168,39.7338648,civic-center
drug-alcohol,-104.9033085,39.7569937,stapleton
all-other-crimes,-105.0274743,39.715772,barnum
other-crimes-against-persons,-104.9459362,39.7148177,cherry-creek
auto-theft,-105.0298052,39.7848683,regis
theft-from-motor-vehicle,-105.0243794,39.7554368,jefferson-park
all-other-crimes,-104.9924462,39.7432545,cbd
larceny,-104.9260659,39.7338736,hale
all-other-crimes,-104.9582636,39.7668706,clayton
all-other-crimes,-104.9883004,39.741702,cbd
drug-alcohol,-104.9798198,39.7392243,capitol-hill
theft-from-motor-vehicle,-104.9843106,39.7063857,washington-park-west
all-other-crimes,-104.6740448,39.851926,dia
theft-from-motor-vehicle,-104.9243219,39.6768944,goldsmith
sexual-assault,,,belcaro
sexual-assault,,,lincoln-park
drug-alcohol,-104.8867036,39.7388636,east-colfax
other-crimes-against-persons,-104.9985474,39.7339605,lincoln-park
drug-alcohol,-105.0263741,39.7028757,westwood
all-other-crimes,-104.9936993,39.7593197,five-points
theft-from-motor-vehicle,-104.8588507,39.7920749,montbello
all-other-crimes,-104.9988427,39.7414014,cbd
theft-from-motor-vehicle,-104.9709205,39.7258782,country-club
all-other-crimes,-104.9758773,39.7900048,globeville
auto-theft,-104.9672465,39.7368263,cheesman-park
auto-theft,-105.0562612,39.6572031,bear-valley
public-disorder,-104.8705698,39.6545352,hampden
